ISBN / ASIN (Amazon ID),Link,Acquired Date,RelationshipSubtype,RelationshipType,Format,Title,Pages,Listening Length,Genres,Subgenres,Series Position,Series,(First) Author,All Authors
B00UMBGZGK,https://www.amazon.com/dp/B00UMBGZGK,5-Oct-15,Sharing,item_owner,Kindle eBook,Infinity Lost (The Infinity Trilogy Book 1),246,,Science Fiction & Fantasy | Teen & Young Adult,Science Fiction & Fantasy | Literature & Fiction,1,The Infinity Trilogy,"Harrison, S.",S. Harrison
B00E1IWX34,https://www.amazon.com/dp/B00E1IWX34,30-Oct-13,Purchase,item_owner,Kindle eBook,The Nuts and Bolts of College Writing (Hackett Student Handbooks),142,,Reference,"Words, Language & Grammar | Writing, Research & Publishing Guides",,,"Harvey, Michael",Michael Harvey
B09Q84Q3W8,https://www.amazon.com/dp/B09Q84Q3W8,15-Jul-22,Purchase,item_owner,Kindle eBook,War and Me: A Memoir,351,,Biographies & Memoirs,Community & Culture,,,"Hassan, Faleeha","Faleeha Hassan, William Hutchins"
B002CK8VK2,https://www.amazon.com/dp/B002CK8VK2,26-Nov-12,Purchase,item_owner,Kindle eBook,To the Castle and Back: A Memoir,402,,Biographies & Memoirs,Leaders & Notable People,,,"Havel, Vaclav",Vaclav Havel
B07C96Q217,https://www.amazon.com/dp/B07C96Q217,9-Jan-20,Purchase,item_owner,Kindle eBook,"Eloquent JavaScript, 3rd Edition: A Modern Introduction to Programming",474,,Computers & Technology,Web Development & Design,,,"Haverbeke, Marijn",Marijn Haverbeke
B078JG8M8P,https://www.amazon.com/dp/B078JG8M8P,8-Sep-18,Sharing,item_owner,Kindle eBook,The Ragged Edge of Night,382,,Literature & Fiction,Genre Fiction,,,"Hawker, Olivia",Olivia Hawker
B005OZ6ROE,https://www.amazon.com/dp/B005OZ6ROE,28-Dec-11,Purchase,item_owner,Kindle eBook,Don't Juggle Bees! And Other Useless Advice For Silly Children: A Silly Rhyming Picture Books for Kids,46,,Children's Books,,,,"Hawksley, Gerald",Gerald Hawksley
B003N2P45S,https://www.amazon.com/dp/B003N2P45S,19-Jun-12,Sharing,item_owner,Kindle eBook,The Road to Monticello: The Life and Mind of Thomas Jefferson,750,,Biographies & Memoirs,Leaders & Notable People | Arts & Literature,,,"Hayes, Kevin J.",Kevin J. Hayes
B01AO3OV2K,https://www.amazon.com/dp/B01AO3OV2K,9-Aug-20,Sharing,item_owner,Kindle eBook,The Temple and the Tabernacle: A Study of God's Dwelling Places from Genesis to Revelation,209,,Christian Books & Bibles,Theology,,,"Hays, J. Daniel",J. Daniel Hays
B000N0WT92,https://www.amazon.com/dp/B000N0WT92,22-Aug-21,PublicLibraryLending,item_owner,Kindle eBook,American Fascists: The Christian Right and the War On America,274,,Politics & Social Sciences | History,World | Americas | Politics & Government,,,"Hedges, Chris",Chris Hedges
B004MMEIIW,https://www.amazon.com/dp/B004MMEIIW,19-Dec-12,Purchase,item_owner,Kindle eBook,Ten Thousand Saints: A Novel,403,,Literature & Fiction,,,,"Henderson, Eleanor",Eleanor Henderson
B00B7NPRY8,https://www.amazon.com/dp/B00B7NPRY8,19-Jun-22,PublicLibraryLending,item_owner,Kindle eBook,Dune,892,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction | Fantasy,1,Dune,"Herbert, Frank",Frank Herbert
